PM2.5 Concentration,Allergic Rhinitis Incidence
39.54169466,Low incidence of allergic rhinitis
48.00176578,Low incidence of allergic rhinitis
51.62437199,Low incidence of allergic rhinitis
85.2408865,High incidence of allergic rhinitis
63.32480666,High incidence of allergic rhinitis
61.53008767,High incidence of allergic rhinitis
28.5717236,Low incidence of allergic rhinitis
65.006612,High incidence of allergic rhinitis
61.7868875,High incidence of allergic rhinitis
54.44085325,Low incidence of allergic rhinitis
18.65659398,Low incidence of allergic rhinitis
70.19621221,High incidence of allergic rhinitis
68.16791159,High incidence of allergic rhinitis
84.86484205,High incidence of allergic rhinitis
71.16704734,High incidence of allergic rhinitis
69.02065087,High incidence of allergic rhinitis
85.65877117,High incidence of allergic rhinitis
89.05992322,High incidence of allergic rhinitis
23.69384376,Low incidence of allergic rhinitis
67.4246381,High incidence of allergic rhinitis
14.49155689,Low incidence of allergic rhinitis
51.46202148,Low incidence of allergic rhinitis
0.5007277198,Low incidence of allergic rhinitis
54.9014862,Low incidence of allergic rhinitis
30.3167075,Low incidence of allergic rhinitis
12.10072629,Low incidence of allergic rhinitis
24.6059439,Low incidence of allergic rhinitis
45.48385735,Low incidence of allergic rhinitis
97.69093699,High incidence of allergic rhinitis
81.35919191,High incidence of allergic rhinitis
51.44261182,Low incidence of allergic rhinitis
29.4438675,Low incidence of allergic rhinitis
54.61313401,Low incidence of allergic rhinitis
29.62063598,Low incidence of allergic rhinitis
0.4701274906,Low incidence of allergic rhinitis
3.361615471,Low incidence of allergic rhinitis
92.29642905,High incidence of allergic rhinitis
46.91477419,Low incidence of allergic rhinitis
27.3593529,Low incidence of allergic rhinitis
74.81059726,High incidence of allergic rhinitis
34.42084845,Low incidence of allergic rhinitis
2.357867765,Low incidence of allergic rhinitis
17.00409873,Low incidence of allergic rhinitis
29.21468978,Low incidence of allergic rhinitis
91.91745677,High incidence of allergic rhinitis
99.17260586,High incidence of allergic rhinitis
79.65267084,High incidence of allergic rhinitis
86.90519658,High incidence of allergic rhinitis
11.00408435,Low incidence of allergic rhinitis
88.13287589,High incidence of allergic rhinitis
54.30429215,Low incidence of allergic rhinitis
33.41571928,Low incidence of allergic rhinitis
19.65117316,Low incidence of allergic rhinitis
27.1739861,Low incidence of allergic rhinitis
8.459724144,Low incidence of allergic rhinitis
28.67299353,Low incidence of allergic rhinitis
93.15100263,High incidence of allergic rhinitis
85.25861741,High incidence of allergic rhinitis
26.43316662,Low incidence of allergic rhinitis
97.26438619,High incidence of allergic rhinitis
64.25480893,High incidence of allergic rhinitis
90.25661904,High incidence of allergic rhinitis
20.85988439,Low incidence of allergic rhinitis
47.55981931,Low incidence of allergic rhinitis
59.34196525,Low incidence of allergic rhinitis
90.53136352,High incidence of allergic rhinitis
99.55963488,High incidence of allergic rhinitis
84.6480507,High incidence of allergic rhinitis
90.07977998,High incidence of allergic rhinitis
17.4978594,Low incidence of allergic rhinitis
63.65205575,High incidence of allergic rhinitis
96.54323898,High incidence of allergic rhinitis
6.336475273,Low incidence of allergic rhinitis
64.62568748,High incidence of allergic rhinitis
73.35778849,High incidence of allergic rhinitis
60.72275614,High incidence of allergic rhinitis
29.68719775,Low incidence of allergic rhinitis
27.52973463,Low incidence of allergic rhinitis
2.311744197,Low incidence of allergic rhinitis
7.116283372,Low incidence of allergic rhinitis
35.33213977,Low incidence of allergic rhinitis
49.11569726,Low incidence of allergic rhinitis
9.269969745,Low incidence of allergic rhinitis
91.75353256,High incidence of allergic rhinitis
76.11473676,High incidence of allergic rhinitis
57.17494107,Low incidence of allergic rhinitis
16.65964231,Low incidence of allergic rhinitis
65.53759244,High incidence of allergic rhinitis
32.55863931,Low incidence of allergic rhinitis
36.64810091,Low incidence of allergic rhinitis
46.08594141,Low incidence of allergic rhinitis
12.61702905,Low incidence of allergic rhinitis
78.3567787,High incidence of allergic rhinitis
27.4714084,Low incidence of allergic rhinitis
43.18978254,Low incidence of allergic rhinitis
28.60280305,Low incidence of allergic rhinitis
51.83805947,Low incidence of allergic rhinitis
34.93227585,Low incidence of allergic rhinitis
98.82492582,High incidence of allergic rhinitis
94.18802203,High incidence of allergic rhinitis